it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc
0,Petrol,SUV,"14,118",Automatic,1,1st Owner,Renault,Renault Kiger,2022,8352,RXT AMT,₹ 8.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"1,200",Automatic,1,1st Owner,Jeep,Jeep Meridian,2023,9907,Limited Opt AT,₹ 41 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"36,000",Automatic,2,2nd Owner,Ford,Ford Ecosport,2018,6089,1.5 Petrol Trend Plus AT BSIV,₹ 7.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"10,000",Automatic,1,1st Owner,Skoda,Skoda Kushaq,2022,8677,1.0 TSI Style AT BSVI,₹ 17.55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"50,000",Manual,1,1st Owner,Kia,Kia Seltos,2019,7106,HTK Plus G,₹ 10.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"30,000",Manual,1,1st Owner,Toyota,Toyota Urban cruiser,2021,7970,High,₹ 10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"29,000",Automatic,1,1st Owner,Skoda,Skoda Rapid,2018,3156,1.6 MPI AT Style BSIV,₹ 8.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"55,940",Manual,2,2nd Owner,Hyundai,Hyundai i20,2014,1482,Asta 1.2,₹ 5.08 Lakh,₹ 5.39 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,Sedan,"1,15,915",Manual,2,2nd Owner,Honda,Honda City,2018,5620,i-DTEC ZX,₹ 8.51 Lakh,₹ 8.60 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"1,000",Automatic,1,1st Owner,Renault,Renault KWID,2022,10081,1.0 RXT AMT,₹ 6.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
